KEY,English,Russian
Level,Level,Уровень
SPIDER,SPIDER,ПАУЧОК
lsStars,"Collect stars: ", "Соберите звезд: "
lsTime,"Beat the time", "Успейте за время"
lsWeb,"Use web: ", "Используйте \nпаутинку: "
lsSluggish,"Don't use sluggish", "Не используйте \nлизуна"
lsDestroyer,"Don't use destroyer", "Не используйте \ndestroyer"
lsYeti,"Don't use yeti", "Не используйте \nйети"
lsGroot,"Don't use groot", "Не используйте \nгрута"
lsEnergyMenu, "Next energy:", "Следующая энергия:"
marketNotCoinsMenu, "Not enought coins!", "Недостаточно монет!"
marketNotCoinsMenu2, "You can always buy more in the store!", "Вы всегда можете купить их в магазине!"
marketNotCoinsMenu3, "Buy more", "Купить больше"
marketThanksMenu, "Thanks!", "Спасибо!"
marketSpecial, "Special offers", "Особые предложения"
marketCoins, "Coins", "Монеты"
marketHints, "Hints", "Подсказки"
marketCustomization, "Customization", "Персонализация"
marketComplect, "Exellent set", "Отличный комплект"
marketComplectDesc, "Exellent set - desc", "Отличный комплект - описание"
notiferTitleEnergy, "Energy", "Энергия"
notiferMessageEnergy, "Energy msg", "Энергия msg"
notiferTitleDay, "Day", "День"
notiferMessageDay, "Day msg", "День msg"
dailyBunus, "Daily bonus!", "Ежедневный бонус!"
completeMenuBonusTime, "Bonus time:", "Бонус за время:"
completeMenuBonusLevel, "Bonus level:", "Бонус за уровень:"
completeMenuBonusGem1, "Bonus first gem:", "Бонус за первый кристалл:"
completeMenuBonusGem2, "Bonus second gem:", "Бонус за второй кристалл:"
completeMenuScoreAll, "Final score:", "Общий счет:"
Bonus, "Bonus!", "Бонус!"
spiderSkin1, "Yellow", "Желтый"
spiderSkin2, "Donatello", "Донателло"
spiderSkin3, "Spotty", "Пятнистый"
spiderSkin4, "Cross", "Крестик"
spiderSkin5, "Spider-man", "Человек-паук"
marketBonus, "If exist in collection:", "Если есть в коллекции:"
marketBonus2, "to the maximum", "к максимуму"
marketGetBooster, "Get booster!", "Получить бустер!"
marketSkinBonus, "Collect the complete collection of skins!", "Собери полную коллекцию скинов!"
marketSkinBonus2, "Get +50%    !", "Получи +50%    !"
